Geography,Total - Population by visible minority,Total visible minority population,South Asian,Chinese,Black,Filipino,Latin American,Arab,Southeast Asian,West Asian,Korean,Japanese,"Visible minority, n.i.e. (not included elsewhere)",Multiple visible minorities,Aboriginal self-reporting,Not a visible minority
Newfoundland and Labrador,431045,5350,1425,1370,1040,285,145,250,310,130,65,55,110,165,25860,399835
Prince Edward Island ,114200,3170,345,1435,295,70,195,160,140,280,65,120,0,65,1455,109575
Nova Scotia ,768065,35965,3965,4765,14905,1435,1140,5015,990,1130,845,330,460,995,24910,707185
New Brunswick,622435,12695,1855,1945,3240,855,1045,1050,550,280,1300,235,75,260,15995,593745
Quebec ,6474590,645945,63270,64985,178730,25445,93820,121400,53155,18925,5085,2995,6660,11475,104495,5724150
Ontario ,10473665,2576785,742065,529425,397940,221370,143185,114230,111710,99260,65695,23615,63800,64495,220890,7675995
Manitoba,946940,117760,19435,14285,13980,45000,7290,2220,6120,1450,2410,1405,1395,2765,132290,696895
Saskatchewan ,812505,47230,8910,9375,5045,11730,2665,1375,3845,1165,1000,480,485,1140,103085,662190
Alberta ,2888740,504620,117615,110590,51405,83545,33375,24430,32695,12065,12115,9750,4675,12365,151755,2232365
British Columbia ,3646840,963550,245510,376270,23510,100670,30000,10865,42125,33430,44615,30780,4850,20925,168295,2514995
Territories,80505,4125,500,645,625,1310,210,100,360,65,50,105,105,45,38090,38290
Yukon,27495,1520,275,280,80,510,85,0,150,0,0,60,35,15,5730,20250
Northwest Territories,31750,2185,150,300,450,700,100,75,190,55,35,35,65,25,14980,14590
Nunavut,21255,425,80,55,95,100,30,15,25,10,0,10,10,10,17385,3450
